lat frac
5.100 0.0000
5.100 0.0025
5.200 0.0050
5.200 0.0075
5.200 0.0100
5.200 0.0125
5.200 0.0150
5.200 0.0175
5.300 0.0200
5.300 0.0225
5.300 0.0250
5.300 0.0275
5.300 0.0300
5.300 0.0325
5.300 0.0350
5.300 0.0375
5.300 0.0400
5.300 0.0425
5.400 0.0450
5.400 0.0475
5.400 0.0500
5.400 0.0525
5.400 0.0550
5.400 0.0575
5.400 0.0600
5.400 0.0625
5.400 0.0650
5.400 0.0675
5.500 0.0700
5.500 0.0725
5.500 0.0750
5.500 0.0775
5.500 0.0800
5.500 0.0825
5.500 0.0850
5.500 0.0875
5.500 0.0900
5.500 0.0925
5.500 0.0950
5.500 0.0975
5.500 0.1000
5.600 0.1025
5.600 0.1050
5.600 0.1075
5.600 0.1100
5.600 0.1125
5.600 0.1150
5.600 0.1175
5.600 0.1200
5.600 0.1225
5.600 0.1250
5.600 0.1275
5.600 0.1300
5.600 0.1325
5.600 0.1350
5.600 0.1375
5.600 0.1400
5.600 0.1425
5.600 0.1450
5.600 0.1475
5.600 0.1500
5.600 0.1525
5.600 0.1550
5.600 0.1575
5.600 0.1600
5.600 0.1625
5.600 0.1650
5.600 0.1675
5.600 0.1700
5.600 0.1725
5.600 0.1750
5.600 0.1775
5.600 0.1800
5.600 0.1825
5.600 0.1850
5.600 0.1875
5.600 0.1900
5.600 0.1925
5.600 0.1950
5.600 0.1975
5.600 0.2000
5.600 0.2025
5.600 0.2050
5.600 0.2075
5.600 0.2100
5.600 0.2125
5.600 0.2150
5.600 0.2175
5.600 0.2200
5.600 0.2225
5.600 0.2250
5.600 0.2275
5.600 0.2300
5.600 0.2325
5.600 0.2350
5.600 0.2375
5.600 0.2400
5.600 0.2425
5.600 0.2450
5.600 0.2475
5.600 0.2500
5.600 0.2525
5.600 0.2550
5.600 0.2575
5.600 0.2600
5.600 0.2625
5.600 0.2650
5.700 0.2675
5.700 0.2700
5.700 0.2725
5.700 0.2750
5.700 0.2775
5.700 0.2800
5.700 0.2825
5.700 0.2850
5.700 0.2875
5.700 0.2900
5.700 0.2925
5.700 0.2950
5.700 0.2975
5.700 0.3000
5.700 0.3025
5.700 0.3050
5.700 0.3075
5.700 0.3100
5.700 0.3125
5.700 0.3150
5.700 0.3175
5.700 0.3200
5.700 0.3225
5.700 0.3250
5.700 0.3275
5.700 0.3300
5.700 0.3325
5.700 0.3350
5.700 0.3375
5.700 0.3400
5.700 0.3425
5.700 0.3450
5.700 0.3475
5.700 0.3500
5.700 0.3525
5.700 0.3550
5.700 0.3575
5.700 0.3600
5.700 0.3625
5.700 0.3650
5.700 0.3675
5.700 0.3700
5.700 0.3725
5.700 0.3750
5.700 0.3775
5.700 0.3800
5.700 0.3825
5.700 0.3850
5.700 0.3875
5.700 0.3900
5.700 0.3925
5.700 0.3950
5.700 0.3975
5.700 0.4000
5.700 0.4025
5.700 0.4050
5.700 0.4075
5.700 0.4100
5.700 0.4125
5.700 0.4150
5.700 0.4175
5.700 0.4200
5.700 0.4225
5.700 0.4250
5.700 0.4275
5.700 0.4300
5.700 0.4325
5.700 0.4350
5.700 0.4375
5.700 0.4400
5.700 0.4425
5.700 0.4450
5.700 0.4475
5.700 0.4500
5.700 0.4525
5.700 0.4550
5.700 0.4575
5.700 0.4600
5.700 0.4625
5.700 0.4650
5.700 0.4675
5.700 0.4700
5.700 0.4725
5.700 0.4750
5.700 0.4775
5.700 0.4800
5.700 0.4825
5.700 0.4850
5.700 0.4875
5.700 0.4900
5.700 0.4925
5.700 0.4950
5.700 0.4975
5.700 0.5000
5.700 0.5025
5.700 0.5050
5.700 0.5075
5.700 0.5100
5.700 0.5125
5.700 0.5150
5.700 0.5175
5.700 0.5200
5.700 0.5225
5.700 0.5250
5.700 0.5275
5.700 0.5300
5.700 0.5325
5.700 0.5350
5.700 0.5375
5.700 0.5400
5.700 0.5425
5.700 0.5450
5.700 0.5475
5.800 0.5500
5.800 0.5525
5.800 0.5550
5.800 0.5575
5.800 0.5600
5.800 0.5625
5.800 0.5650
5.800 0.5675
5.800 0.5700
5.800 0.5725
5.800 0.5750
5.800 0.5775
5.800 0.5800
5.800 0.5825
5.800 0.5850
5.800 0.5875
5.800 0.5900
5.800 0.5925
5.800 0.5950
5.800 0.5975
5.800 0.6000
5.800 0.6025
5.800 0.6050
5.800 0.6075
5.800 0.6100
5.800 0.6125
5.800 0.6150
5.800 0.6175
5.800 0.6200
5.800 0.6225
5.800 0.6250
5.800 0.6275
5.800 0.6300
5.800 0.6325
5.800 0.6350
5.800 0.6375
5.800 0.6400
5.800 0.6425
5.800 0.6450
5.800 0.6475
5.800 0.6500
5.800 0.6525
5.800 0.6550
5.800 0.6575
5.800 0.6600
5.800 0.6625
5.800 0.6650
5.800 0.6675
5.800 0.6700
5.800 0.6725
5.800 0.6750
5.800 0.6775
5.800 0.6800
5.800 0.6825
5.800 0.6850
5.800 0.6875
5.800 0.6900
5.900 0.6925
5.900 0.6950
5.900 0.6975
5.900 0.7000
5.900 0.7025
5.900 0.7050
5.900 0.7075
5.900 0.7100
5.900 0.7125
5.900 0.7150
