"Net name","Source component","Source pin","Destination component","Destination pin","Voltage/signal type","Direction","Active level","Notes","Status"
"ATX_5VSB_TO_ESP32","ATX PSU","+5VSB purple","ESP32-S3","5V/VIN","5 V standby power","power","N/A","Standby rail, ALWAYS LIVE while mains connected; ESP32 stays powered when main rails are OFF (see STANDBY POWER BEHAVIOUR)","CONFIRMED"
"ATX_PS_ON_SWITCH","ATX PSU","PS-ON green","KCD1 switch","terminal 1","power control","input","active-low","KCD1 shorts PS-ON to GND to enable main rails","CONFIRMED"
"KCD1_TO_GND","KCD1 switch","terminal 2","ATX PSU","GND black","0 V","power control","active-low","Closing SW1 turns on +12 V / +5 V / +3.3 V main rails","CONFIRMED"
"ATX_12V_RAIL","ATX PSU","+12 V yellow","actuator rail node","+12 V bus","12 V actuator power","power","N/A","Feeds stepper VMOT, L298N VS, fan via relay COM; live only while PS-ON low","CONFIRMED"
"ATX_5V_RAIL","ATX PSU","+5 V red","module rail node","+5 V bus","5 V module power","power","N/A","Feeds relay module VCC and LCD VCC (LCD TBD); live only while PS-ON low","CONFIRMED"
"ATX_3V3_KY_BUS","ATX PSU","+3.3 V orange","KY-024 VCC bus","bus","3.3 V power","power","N/A","Dedicated KY-024 supply ONLY; do NOT tie to ESP32 3V3 LDO output (G2); off when main rails off","CONFIRMED"
"COMMON_GND","ATX PSU","GND black","all modules","GND","0 V","power","N/A","Single COMMON_GND node between ESP32, sensors, drivers, relay, panels, ATX (G3)","CONFIRMED"
"ESP32_GND","ATX PSU","GND black","ESP32-S3","GND","0 V","power","N/A","Explicit GND wire ESP32 to common ground rail","CONFIRMED"
"STANDBY_FLOATING_INPUTS","KY-024 / actuator rails","unpowered","ESP32-S3","GPIO inputs","design risk","N/A","N/A","When main rails OFF and ESP32 on +5VSB, sensor inputs float / may back-power; firmware must treat sensors as unavailable; protect/pull inputs","DESIGN CHECK REQUIRED"
"KY024_F0_VCC","KY-024 VCC bus","bus","KY-024 F0","VCC","3.3 V power","power","N/A","Floor 0 sensor supply from ATX +3.3 V orange","CONFIRMED"
"KY024_F1_VCC","KY-024 VCC bus","bus","KY-024 F1","VCC","3.3 V power","power","N/A","Floor 1 sensor supply from ATX +3.3 V orange","CONFIRMED"
"KY024_F2_VCC","KY-024 VCC bus","bus","KY-024 F2","VCC","3.3 V power","power","N/A","Floor 2 sensor supply from ATX +3.3 V orange","CONFIRMED"
